recipe_slug	score_estimate
falafel	0.088337
spamburger	0.034983
bacon-fried-rice	0.043949
chicken-fingers	0.078209
apple-crisp	0.687218
cranberry-apple-crisp	0.641209
bacon-chocolate-chip-cookies	0.784449
sujebi	0.057686
pasta-primavera	0.103025
ramen	0.488625
brownies	0.790562
bacon-wrapped-scallops	0.480872
bacon-egg-muffins	0.484738
breakfast-burritos	0.493897
bolognese-sauce	0.482175
croissants	0.495585
bacon-souffle	0.511791
souffle	0.486058
chocolate-souffle	0.813226
butter-croissants	0.534958
pickled-green-beans	0.489657
fried-oysters	0.466679
peanut-butter-brownies	0.793617
almond-chip-cookies	0.665026
guacamole	0.049852
brioche-bread	0.658378
brioche-bread-with-chocolate	0.996646
asparagus-quiche	0.509895
asparagus-burger	0.473895
ma-la-chicken	0.031398
cold-noodles-with-tomatoes	0.049000
tamales	0.487673
enchiladas	0.486045
tacos	0.054131
burritos	0.469682
peanut-butter-cupcakes	0.817215
pickled-asparagus	0.480839
chocolate-peanut-butter-cake	0.965598
udon	0.468818
vegetable-lasagna	0.476650
maple-bacon-donuts	0.670504
maple-bacon-pancakes	0.487954
spinach-and-ricotta-stuffed-shells	0.465115
quesadillas	0.494830
pico-de-gallo	0.479929
nachos	0.484111
cold-soba-noodles-with-tomato-and-cucumber	0.438449
fajitas	0.492937
loaded-nachos	0.497840
lasagna	0.487240
chicken-nuggets	0.457750
pain-au-chocolat	0.641108
nacho-dip	0.489721
nacho-salad	0.481539
nacho-casserole	0.492650
nacho-fries	0.496924
tempura-udon	0.492453
peach-crisp	0.794393
apple-pie	0.799208
blueberry-crisp	0.860349
berry-crumble	0.868010
strawberry-rhubarb-crisp	0.981237
peach-cobbler	0.649146
cranberry-sauce	0.645892
cherry-cobbler	0.824681
apple-crumble	0.811861
chocolate-croissants	0.820033
french-toast	0.629670
chocolate-babka	0.804813
cinnamon-babka	0.936745
blueberry-crumble	0.893019
spam-musubi	0.481771
taco-salad	0.482796
chiles-rellenos	0.493628
almond-croissants	0.639288
cranberry-relish	0.645892
ma-la-beef	0.472063
chocolate-cake	0.953812
spinach-quiche	0.503036
mushroom-quiche	0.474496
quiche-lorraine	0.513589
croissant-aux-amandes	0.493683
danishes	0.963426
spinach-and-feta-quiche	0.491846
cold-sesame-noodles	0.489437
soba-noodle-salad-with-peanut-dressing	0.512857
dan-dan-noodles	0.476656
vanilla-souffle	0.926487
bacon-wrapped-dates	0.491512
cherry-pie	0.947193
berry-crisp	0.944372
bacon-and-egg-breakfast-sandwich	0.496104
bacon-wrapped-shrimp-skewers	0.479291
bacon-wrapped-chicken	0.472382
bacon-wrapped-asparagus	0.505462
bacon-mac-and-cheese	0.497397
chicken-alfredo-lasagna	0.479617
classic-beef-lasagna	0.497455
vegetarian-mushroom-lasagna	0.497114
spinach-and-ricotta-lasagna	0.484773
