recipe_slug	rating
falafel	0.000000
spamburger	0.000000
bacon-fried-rice	0.000000
chicken-fingers	0.000000
apple-crisp	0.650000
cranberry-apple-crisp	0.650000
bacon-chocolate-chip-cookies	0.800000
sujebi	0.000000
pasta-primavera	0.000000
ramen	0.500000
brownies	0.800000
bacon-wrapped-scallops	0.500000
bacon-egg-muffins	0.500000
breakfast-burritos	0.500000
bolognese-sauce	0.500000
croissants	0.500000
bacon-souffle	0.500000
souffle	0.500000
chocolate-souffle	0.800000
butter-croissants	0.500000
pickled-green-beans	0.500000
fried-oysters	0.500000
peanut-butter-brownies	0.800000
almond-chip-cookies	0.650000
guacamole	0.000000
brioche-bread	0.650000
brioche-bread-with-chocolate	1.000000
asparagus-quiche	0.500000
asparagus-burger	0.500000
ma-la-chicken	0.000000
cold-noodles-with-tomatoes	0.000000
tamales	0.500000
enchiladas	0.500000
tacos	0.000000
burritos	0.500000
peanut-butter-cupcakes	0.800000
pickled-asparagus	0.500000
chocolate-peanut-butter-cake	1.000000
udon	0.500000
vegetable-lasagna	0.500000
maple-bacon-donuts	0.650000
maple-bacon-pancakes	0.500000
spinach-and-ricotta-stuffed-shells	0.500000
quesadillas	0.500000
pico-de-gallo	0.500000
nachos	0.500000
cold-soba-noodles-with-tomato-and-cucumber	0.500000
fajitas	0.500000
loaded-nachos	0.500000
lasagna	0.500000
chicken-nuggets	0.500000
pain-au-chocolat	0.650000
nacho-dip	0.500000
nacho-salad	0.500000
nacho-casserole	0.500000
nacho-fries	0.500000
tempura-udon	0.500000
peach-crisp	0.800000
apple-pie	0.800000
blueberry-crisp	0.800000
berry-crumble	0.800000
strawberry-rhubarb-crisp	1.000000
peach-cobbler	0.650000
cranberry-sauce	0.650000
cherry-cobbler	0.800000
apple-crumble	0.800000
chocolate-croissants	0.800000
french-toast	0.650000
chocolate-babka	0.800000
cinnamon-babka	1.000000
blueberry-crumble	1.000000
spam-musubi	0.500000
taco-salad	0.500000
chiles-rellenos	0.500000
almond-croissants	0.650000
cranberry-relish	0.650000
ma-la-beef	0.500000
chocolate-cake	1.000000
spinach-quiche	0.500000
mushroom-quiche	0.500000
quiche-lorraine	0.500000
croissant-aux-amandes	0.500000
danishes	1.000000
spinach-and-feta-quiche	0.500000
cold-sesame-noodles	0.500000
soba-noodle-salad-with-peanut-dressing	0.500000
dan-dan-noodles	0.500000
vanilla-souffle	1.000000
bacon-wrapped-dates	0.500000
cherry-pie	1.000000
berry-crisp	1.000000
bacon-and-egg-breakfast-sandwich	0.500000
bacon-wrapped-shrimp-skewers	0.500000
bacon-wrapped-chicken	0.500000
bacon-wrapped-asparagus	0.500000
bacon-mac-and-cheese	0.500000
chicken-alfredo-lasagna	0.500000
classic-beef-lasagna	0.500000
vegetarian-mushroom-lasagna	0.500000
spinach-and-ricotta-lasagna	0.500000
