recipe_slug	score_bound	reward
falafel	2.000000	0.000000
spamburger	1.414214	0.000000
bacon-fried-rice	1.154701	0.000000
chicken-fingers	1.000000	0.000000
apple-crisp	0.894427	0.650000
cranberry-apple-crisp	0.924830	0.650000
bacon-chocolate-chip-cookies	0.941643	0.800000
sujebi	0.969607	0.000000
pasta-primavera	0.900000	0.000000
ramen	0.842456	0.500000
brownies	0.839386	0.800000
bacon-wrapped-scallops	0.860684	0.500000
bacon-egg-muffins	0.854700	0.500000
breakfast-burritos	0.848808	0.500000
bolognese-sauce	0.843064	0.500000
croissants	0.837500	0.500000
bacon-souffle	0.832130	0.500000
souffle	0.826960	0.500000
chocolate-souffle	0.821989	0.800000
butter-croissants	0.832214	0.500000
pickled-green-beans	0.826912	0.500000
fried-oysters	0.821856	0.500000
peanut-butter-brownies	0.817029	0.800000
almond-chip-cookies	0.824915	0.650000
guacamole	0.826000	0.000000
brioche-bread	0.801848	0.650000
brioche-bread-with-chocolate	0.803419	1.000000
asparagus-quiche	0.817250	0.500000
asparagus-burger	0.812770	0.500000
ma-la-chicken	0.808482	0.000000
cold-noodles-with-tomatoes	0.788243	0.000000
tamales	0.769178	0.500000
enchiladas	0.766337	0.500000
tacos	0.763585	0.000000
burritos	0.746633	0.500000
peanut-butter-cupcakes	0.744444	0.800000
pickled-asparagus	0.750420	0.500000
chocolate-peanut-butter-cake	0.748127	1.000000
udon	0.758718	0.500000
vegetable-lasagna	0.756228	0.500000
maple-bacon-donuts	0.753811	0.650000
maple-bacon-pancakes	0.755035	0.500000
spinach-and-ricotta-stuffed-shells	0.752672	0.500000
quesadillas	0.750375	0.500000
pico-de-gallo	0.748142	0.500000
nachos	0.745971	0.500000
cold-soba-noodles-with-tomato-and-cucumber	0.743858	0.500000
fajitas	0.741800	0.500000
loaded-nachos	0.739796	0.500000
lasagna	0.737843	0.500000
chicken-nuggets	0.735938	0.500000
pain-au-chocolat	0.734081	0.650000
nacho-dip	0.735098	0.500000
nacho-salad	0.733277	0.500000
nacho-casserole	0.731498	0.500000
nacho-fries	0.729761	0.500000
tempura-udon	0.728064	0.500000
peach-crisp	0.726406	0.800000
apple-pie	0.729869	0.800000
blueberry-crisp	0.733199	0.800000
berry-crumble	0.736402	0.800000
strawberry-rhubarb-crisp	0.739484	1.000000
peach-cobbler	0.745627	0.650000
cranberry-sauce	0.746094	0.650000
cherry-cobbler	0.746531	0.800000
apple-crumble	0.749213	0.800000
chocolate-croissants	0.751802	0.800000
french-toast	0.754300	0.650000
chocolate-babka	0.754540	0.800000
cinnamon-babka	0.756903	1.000000
blueberry-crumble	0.762004	1.000000
spam-musubi	0.766952	0.500000
taco-salad	0.764904	0.500000
chiles-rellenos	0.762901	0.500000
almond-croissants	0.760940	0.650000
cranberry-relish	0.760995	0.650000
ma-la-beef	0.761038	0.500000
chocolate-cake	0.759148	1.000000
spinach-quiche	0.763625	0.500000
mushroom-quiche	0.761732	0.500000
quiche-lorraine	0.759877	0.500000
croissant-aux-amandes	0.758058	0.500000
danishes	0.756276	1.000000
spinach-and-feta-quiche	0.760480	0.500000
cold-sesame-noodles	0.758695	0.500000
soba-noodle-salad-with-peanut-dressing	0.756945	0.500000
dan-dan-noodles	0.755227	0.500000
vanilla-souffle	0.753542	1.000000
bacon-wrapped-dates	0.757505	0.500000
cherry-pie	0.755819	1.000000
berry-crisp	0.759657	1.000000
bacon-and-egg-breakfast-sandwich	0.763406	0.500000
bacon-wrapped-shrimp-skewers	0.761691	0.500000
bacon-wrapped-chicken	0.760008	0.500000
bacon-wrapped-asparagus	0.758354	0.500000
bacon-mac-and-cheese	0.756728	0.500000
chicken-alfredo-lasagna	0.755131	0.500000
classic-beef-lasagna	0.753561	0.500000
vegetarian-mushroom-lasagna	0.752018	0.500000
spinach-and-ricotta-lasagna	0.750500	0.500000
